ime,naslov,kraj,ocena,doplacilo,vegetarijansko,dostop_za_invalide,dostava,odprto_ob_vikendih,nov_lokal
PIZZERIJA PIRAMIDA,"Vojkova 71, 1000 Ljubljana",LJUBLJANA,5,2.87,DA,DA,NE,NE,NE
PIZZERIJA VELUN,"Šalek 24 a, 3320 Velenje",VELENJE,4,3.9,NE,DA,NE,NE,NE
PIZZERIJA VERDI,"Dravska ulica 8, 2000 Maribor",MARIBOR,4,1.37,NE,DA,NE,DA,NE
PIZZERIJA VIVALDI,"Borštnikova ulica 33a, 2000 Maribor",MARIBOR,5,3.0,NE,DA,NE,NE,NE
PIZZERIJA VIVALDI - DOSTAVA,"Borštnikova ulica 33a, 2000 Maribor",MARIBOR,5,4.0,NE,NE,DA,NE,NE
POBREŠKI HRAM - DOSTAVA,"Osojnikova 20a, 2000 Maribor",MARIBOR,3,4.3,DA,NE,DA,DA,NE
PODMORNICA,"Kardeljeva ploščad 17, 1000 Ljubljana",LJUBLJANA,4,2.6,DA,DA,NE,NE,NE
POMORŠČAK,"Pot pomorščakov 4, 6320 Portorož/Portorose",PORTOROŽ/PORTOROSE,0,1.9,NE,NE,NE,NE,DA
PORTOFINO,"Tržaška cesta 65, 2000 Maribor",MARIBOR,0,3.0,DA,NE,NE,NE,DA
PORTOFINO - DOSTAVA,"Tržaška cesta 65, 2000 Maribor",MARIBOR,5,4.0,DA,NE,DA,NE,DA
PRAVNA FAKULTETA,"Poljanski nasip 2, 1000 Ljubljana",LJUBLJANA,4,2.57,DA,NE,NE,NE,NE
PREHRANA PALAČA SMELT,"Dunajska 160, 1000 Ljubljana",LJUBLJANA,0,3.47,DA,DA,NE,NE,NE
PRIMAVERA IZOLA,"Prešernova cesta 55, 6310 Izola/Isola",IZOLA/ISOLA,4,4.37,DA,NE,NE,NE,NE
PRIMAVERA IZOLA-DOSTAVA,"Prešernova cesta 55 , 6310 Izola/Isola",IZOLA/ISOLA,0,4.37,DA,NE,DA,DA,NE
PROMETNA ŠOLA MARIBOR,"Preradovičeva ulica 33, 2000 Maribor",MARIBOR,0,2.0,DA,NE,NE,NE,NE
PUCCINI ŠPAGETERIJA IN PIZZERIJA,"Šmartinska cesta 152, 1000 Ljubljana",LJUBLJANA,3,4.17,DA,NE,NE,NE,NE
Q SLOVENSKA,"Slovenska 9, 2000 Maribor",MARIBOR,4,3.77,DA,DA,NE,DA,NE
Q TABOR,"Gorkega ulica 45, 2000 Maribor",MARIBOR,4,3.77,DA,NE,NE,NE,NE
R&B - ROASTERY & BACERY,"Slovenska cesta 47, 1000 Ljubljana",LJUBLJANA,0,1.57,DA,DA,NE,NE,NE
"RESTAVRACIJA  ""BAŠČARŠIJA""","Poštna ulica 8, 2000 Maribor",MARIBOR,4,2.77,DA,DA,NE,DA,NE
"RESTAVRACIJA ""BERI 2""","Tržaška cesta 65, 1000 Ljubljana",LJUBLJANA,4,0.6,NE,NE,NE,DA,NE
RESTAVRACIJA 123 DELO,"Dunajska 5, 1000 Ljubljana",LJUBLJANA,0,3.0,DA,NE,NE,NE,NE
RESTAVRACIJA 123 DSU,"Litostrojska 54, 1000 Ljubljana",LJUBLJANA,0,3.0,DA,NE,NE,NE,NE
RESTAVRACIJA 123 FRI IN FKKT,"Večna pot 113, 1000 Ljubljana",LJUBLJANA,4,1.86,DA,DA,NE,NE,NE
RESTAVRACIJA 123 MC LJUBJANA,"Cesta Ljubljanske brigade 33, 1000 Ljubljana",LJUBLJANA,5,3.0,DA,NE,NE,NE,NE
RESTAVRACIJA 123 MC MARIBOR,"Ulica Eve Lovše 1, 2000 Maribor",MARIBOR,5,3.0,DA,NE,NE,NE,NE
RESTAVRACIJA 123 MC NOVA GORICA,"Industrijska cesta 6, 5000 Nova Gorica",NOVA GORICA,0,3.0,DA,NE,NE,NE,NE
RESTAVRACIJA 123 MEGA CENTER 2,"Verovškova ulica 55a, 1000 Ljubljana",LJUBLJANA,0,3.0,DA,NE,NE,NE,NE
RESTAVRACIJA 123 MERCATOR DUNAJSKA,"Dunajska cesta 107, 1000 Ljubljana",LJUBLJANA,3,3.0,DA,NE,NE,NE,NE
RESTAVRACIJA 123 PEDAGOŠKA,"Kardeljeva ploščad 16, 1000 Ljubljana",LJUBLJANA,5,2.3,DA,NE,NE,NE,NE
RESTAVRACIJA 123 PRISTAN,"Vojkovo nabrežje 32, 6000 Koper/Capodistria",KOPER/CAPODISTRIA,0,3.0,DA,NE,NE,NE,NE
RESTAVRACIJA 2000,"Trg republike 1, 1000 Ljubljana",LJUBLJANA,4,2.97,DA,DA,NE,NE,NE
RESTAVRACIJA ALLEGRIA,"Nazorjeva ulica 8, 1000 Ljubljana",LJUBLJANA,4,4.3,DA,DA,NE,NE,NE
RESTAVRACIJA ANCORA,"Jurčičeva ulica 7, 2000 Maribor",MARIBOR,4,3.47,DA,NE,NE,NE,NE
RESTAVRACIJA BAR AMFORA,"Osojnikova 12, 2250 Ptuj",PTUJ,5,2.7,DA,DA,NE,NE,NE
RESTAVRACIJA BREJK,"Dunajska cesta 22, 1000 Ljubljana",LJUBLJANA,5,3.8,DA,DA,NE,NE,NE
RESTAVRACIJA BURGER KING,"Šmartinska cesta 152g, 1000 Ljubljana",LJUBLJANA,4,1.37,NE,NE,NE,NE,NE
RESTAVRACIJA CITY,"Trg Matije Gubca 3, 8270 Krško",KRŠKO,0,3.77,DA,DA,NE,DA,NE
RESTAVRACIJA FANY & MARY,"Petkovškovo nabrežje 19, 1000 Ljubljana",LJUBLJANA,5,4.17,DA,DA,NE,DA,NE
RESTAVRACIJA FRESCO,"Slovenska cesta 51, 1000 Ljubljana",LJUBLJANA,4,3.7,DA,DA,NE,NE,NE
RESTAVRACIJA FRIDA'S MEXICO,"Gorenjska cesta 38, 4202 Naklo",NAKLO,0,3.37,DA,DA,NE,NE,NE
RESTAVRACIJA GIG,"Mala ulica 5, 1000 Ljubljana",LJUBLJANA,4,2.6,DA,DA,NE,NE,NE
RESTAVRACIJA GLAŽUTA,"Dunajska 119, 1000 Ljubljana",LJUBLJANA,0,4.17,DA,DA,NE,NE,NE
RESTAVRACIJA IN KAVA BAR PARADIŽ,"Podutiška cesta 30, 1000 Ljubljana",LJUBLJANA,0,3.07,DA,DA,NE,NE,NE
RESTAVRACIJA IN KAVARNA FOODIE,"Kersnikova 6, 1000 Ljubljana",LJUBLJANA,5,1.99,DA,DA,NE,NE,DA
RESTAVRACIJA IN PIVNICA ZVEZDA,"Trg zmage 8, 9000 Murska Sobota",MURSKA SOBOTA,0,2.47,DA,NE,NE,NE,NE
RESTAVRACIJA IN PIZZERIJA PEPERONČINO,"Ankaranska cesta 2, 6000 Koper/Capodistria",KOPER/CAPODISTRIA,3,3.3,DA,NE,NE,NE,NE
RESTAVRACIJA INTERSPAR CELJE,"Mariborska 100, 3000 Celje",CELJE,4,2.99,DA,NE,NE,NE,NE
RESTAVRACIJA INTERSPAR CITYPARK,"Šmartinska 152g, 1000 Ljubljana",LJUBLJANA,5,2.99,DA,NE,NE,NE,NE
RESTAVRACIJA INTERSPAR KOPER,"Ankaranska cesta 3A, 6000 Koper/Capodistria",KOPER/CAPODISTRIA,5,2.99,DA,DA,NE,NE,NE
RESTAVRACIJA INTERSPAR KRANJ,"Cesta 1.maja 77, 4000 Kranj",KRANJ,3,2.99,DA,NE,NE,NE,NE
RESTAVRACIJA INTERSPAR MARIBOR EUROPARK,"Pobreška 18, 2000 Maribor",MARIBOR,5,2.99,DA,NE,NE,NE,NE
RESTAVRACIJA INTERSPAR MARIBOR QLANDIA,"Cesta Proletarskih brigad 100, 2000 Maribor",MARIBOR,4,2.99,DA,NE,NE,NE,NE
RESTAVRACIJA INTERSPAR MURSKA SOBOTA,"Nemčavci 1d, 9000 Murska Sobota",MURSKA SOBOTA,1,2.99,DA,NE,NE,NE,NE
RESTAVRACIJA INTERSPAR NOVA GORICA,"Cesta 25. junija 1a, 5000 Nova Gorica",NOVA GORICA,5,2.99,DA,DA,NE,NE,NE
RESTAVRACIJA INTERSPAR VIČ,"Jamova 105, 1000 Ljubljana",LJUBLJANA,5,2.99,DA,NE,NE,NE,NE
RESTAVRACIJA KAVARNA PIZZERIA HOMBRE,"Gerbičeva ulica 61, 1000 Ljubljana",LJUBLJANA,4,3.7,DA,DA,NE,DA,NE
RESTAVRACIJA KAZINA,"Cesta železarjev 9, 4270 Jesenice",JESENICE,0,4.0,DA,NE,NE,NE,NE
RESTAVRACIJA KAZINA - DOSTAVA,"Cesta železarjev 9, 4270 Jesenice",JESENICE,0,4.0,DA,NE,DA,NE,NE
RESTAVRACIJA KITAJSKA PALAČA,"Focheva ulica 41, 2000 Maribor",MARIBOR,4,2.4,DA,DA,NE,DA,NE
RESTAVRACIJA KITAJSKA ZVEZDA,"Litijska 28, 1000 Ljubljana",LJUBLJANA,4,3.3,DA,DA,NE,DA,NE
RESTAVRACIJA KITAJSKI VRT,"Dravska cesta 7 , 2250 Ptuj",PTUJ,5,2.87,DA,NE,NE,NE,NE
RESTAVRACIJA KLUB CANKARJEVEGA DOMA,"Prešernova cesta 10, 1000 Ljubljana",LJUBLJANA,4,3.57,DA,NE,NE,NE,NE
RESTAVRACIJA KOLODVORSKA,"Cesta talcev 37a, 3320 Velenje",VELENJE,0,3.37,DA,NE,NE,NE,NE
RESTAVRACIJA KOMPLIMENT,"Kidričeva cesta 75, 4220 Škofja Loka",ŠKOFJA LOKA,0,3.0,DA,NE,NE,NE,NE
RESTAVRACIJA KOTNIKOVA,"Kotnikova 28, 1000 Ljubljana",LJUBLJANA,0,2.5,DA,DA,NE,NE,DA
RESTAVRACIJA MANGO,"Turnerjeva ulica 17, 2000 Maribor",MARIBOR,5,3.4,DA,DA,NE,DA,NE
RESTAVRACIJA MCDONALDS - CITYCENTER,"Mariborska cesta 100, 3000 Celje",CELJE,4,2.07,DA,DA,NE,DA,NE
RESTAVRACIJA MCDONALDS - PTUJ,"Ormoška cesta 3, 2250 Ptuj",PTUJ,5,2.07,DA,NE,NE,NE,NE
RESTAVRACIJA MCDONALD'S ČOPOVA,"Čopova 14, 1000 Ljubljana",LJUBLJANA,4,2.07,NE,NE,NE,DA,NE
RESTAVRACIJA MCDONALD'S KOLOSEJ,"Šmartinska 152, 1000 Ljubljana",LJUBLJANA,4,2.07,NE,NE,NE,NE,NE
RESTAVRACIJA MCDONALD'S NOVO MESTO,"Ljubljanska 24, 8000 Novo mesto",NOVO MESTO,4,2.07,NE,NE,NE,NE,NE
RESTAVRACIJA MCDONALD'S RUDNIK,"Premrlova ulica 12, 1000 Ljubljana",LJUBLJANA,4,2.07,NE,NE,NE,NE,NE
RESTAVRACIJA MCDONALD'S -ŽELEZNIŠKA,"Trg osvobodilne fronte 6, 1000 Ljubljana",LJUBLJANA,4,2.07,NE,NE,NE,NE,NE
RESTAVRACIJA MCDONALD'S ŽITO,"Šmartinska 154, 1000 Ljubljana",LJUBLJANA,4,2.07,NE,NE,NE,NE,NE
RESTAVRACIJA MODRI KVADRAT,"Davčna ulica 1, 1000 Ljubljana",LJUBLJANA,0,3.37,DA,NE,NE,NE,NE
RESTAVRACIJA MOZART,"Stegne 7, 1000 Ljubljana",LJUBLJANA,0,3.37,DA,DA,NE,NE,NE
RESTAVRACIJA MR. FALAFEL,"Gosposka ulica 30, 2000 Maribor",MARIBOR,4,3.5,DA,DA,NE,DA,NE
RESTAVRACIJA NA KLANCU,"Stari trg 251, 2380 Slovenj Gradec",SLOVENJ GRADEC,5,2.87,DA,NE,NE,DA,NE
RESTAVRACIJA ORIENT,"Taborska ulica 12, 2000 Maribor",MARIBOR,4,2.9,DA,NE,NE,DA,NE
RESTAVRACIJA PIANO,"Koroška cesta 160, 2000 Maribor",MARIBOR,5,2.96,DA,NE,NE,NE,NE
RESTAVRACIJA PIZZERIA SAN MARTINO,"Šmartinska cesta 152, 1000 Ljubljana",LJUBLJANA,5,3.27,DA,NE,NE,NE,NE
RESTAVRACIJA PLEČNIKOV HRAM,"Trg francoske revolucije 2, 1000 Ljubljana",LJUBLJANA,4,3.27,DA,DA,NE,DA,NE
"RESTAVRACIJA PRESTIGE CATERING, GZS","Dimičeva ulica 13, 1000 Ljubljana",LJUBLJANA,0,2.97,DA,DA,NE,NE,NE
RESTAVRACIJA PRI STAREM MOSTU (HOTEL LENT),"Dravska ulica 9, 2000 Maribor",MARIBOR,4,3.37,DA,DA,NE,NE,NE
RESTAVRACIJA RDEČE JABOLKO,"Tržaška 116, 1000 Ljubljana",LJUBLJANA,4,3.2,DA,DA,NE,DA,NE
RESTAVRACIJA RODIŠKA KUH'NA,"Groblje 3, 1230 Domžale",DOMŽALE,0,2.97,DA,NE,NE,NE,NE
RESTAVRACIJA SARAJEVSKIH JEDI VALTER - ŠKOFJA LOKA,"Kidričeva cesta 8c, 4220 Škofja Loka",ŠKOFJA LOKA,4,2.3,DA,NE,NE,DA,NE
RESTAVRACIJA SARAJEVSKIH JEDI VALTER JESENICE,"Cesta Maršala Tita 106, 4270 Jesenice",JESENICE,0,2.3,DA,NE,NE,NE,NE
RESTAVRACIJA SARAJEVSKIH JEDI VALTER KRANJ,"Cesta 1.maja 1a, 4000 Kranj",KRANJ,5,2.3,DA,NE,NE,DA,NE
RESTAVRACIJA SARAJEVSKIH JEDI VALTER LJUBLJANA,"Šmartinska cesta 3, 1000 Ljubljana",LJUBLJANA,4,2.3,DA,DA,NE,DA,NE
RESTAVRACIJA SARAJEVSKIJ JEDI VALTER RADOVLJICA,"Cankarjeva 66, 4240 Radovljica",RADOVLJICA,0,2.3,DA,NE,NE,DA,NE
RESTAVRACIJA SHAOLIN,"Hacquetova 5, 1000 Ljubljana",LJUBLJANA,4,3.0,DA,NE,NE,DA,NE
RESTAVRACIJA SKRITI KOT,"Ajdovščina 4, 1000 Ljubljana",LJUBLJANA,5,3.7,DA,DA,NE,NE,NE
RESTAVRACIJA SLOREST VIČAVA,"Vičava 1, 2250 Ptuj",PTUJ,0,1.5,DA,NE,NE,NE,DA
RESTAVRACIJA SPLOŠNE BOLNIŠNICE NOVO MESTO,"Šmihelska cesta 1, 8000 Novo mesto",NOVO MESTO,0,3.17,DA,NE,NE,NE,NE
RESTAVRACIJA ŠEF LA,"Vojkova 58, 1000 Ljubljana",LJUBLJANA,3,2.5,DA,NE,NE,NE,NE
RESTAVRACIJA ŠEF LA - DOSTAVA,"Vojkova 58, 1000 Ljubljana",LJUBLJANA,0,4.0,DA,NE,DA,NE,NE
RESTAVRACIJA ŠOLSKI CENTER AŠKERČEVA,"Aškerčeva 1, 1000 Ljubljana",LJUBLJANA,0,2.0,DA,DA,NE,NE,NE
"RESTAVRACIJA TARTUF ""CENTER""","Mali trg 3a, 1000 Ljubljana",LJUBLJANA,4,3.7,DA,DA,NE,NE,DA
RESTAVRACIJA TOMI,"Iztokova ulica 22, 2000 Maribor",MARIBOR,5,2.97,DA,NE,NE,NE,NE
RESTAVRACIJA TUŠ CELJE (PLANET TUŠ),"Mariborska cesta 128, 3000 Celje",CELJE,5,2.37,DA,NE,NE,NE,NE
RESTAVRACIJA TUŠ KRANJ,"Cesta Jake Platiše 18, 4000 Kranj",KRANJ,5,2.37,DA,NE,NE,NE,NE
RESTAVRACIJA ZLATA SREČA,"Metelkova ulica 29, 2000 Maribor",MARIBOR,0,2.5,DA,NE,NE,NE,NE
"RESTAVRACIJA,PICERIJA, ŠPAGETERIJA ADRENALINA","Pesje 30, 8270 Krško",KRŠKO,0,3.7,DA,NE,NE,DA,NE
"RESTAVRACIJA,PICERIJA, ŠPAGETERIJA ADRENALINA - DOSTAVA","Pesje 30, 8270 Krško",KRŠKO,0,4.0,DA,NE,DA,NE,NE
RESTORANTE BELLA ITALIA,"Koroška cesta 1, 2000 Maribor",MARIBOR,3,3.5,NE,NE,NE,NE,NE
ROŠTILJ,"Čopova 12, 1000 Ljubljana",LJUBLJANA,4,2.57,DA,NE,NE,DA,NE
ROZA SLON,"Trg OF 14, 1000 Ljubljana",LJUBLJANA,4,2.9,NE,DA,NE,DA,NE
ROZA SLON BEŽIGRAD,"Dunajska 115, 1000 Ljubljana",LJUBLJANA,5,2.9,NE,DA,NE,NE,DA
RUNNING SUSHI & WOK,"Jurčkova cesta 223, 1000 Ljubljana",LJUBLJANA,0,3.87,DA,NE,NE,NE,NE
SALAMON - DOSTAVA,"Dolenjska cesta 103, 1000 Ljubljana",LJUBLJANA,4,3.87,DA,NE,DA,DA,NE
SAMOPOSTREŽNA RESTAVRACIJA DOBRA HIŠA,"Stegne 11a, 1000 Ljubljana",LJUBLJANA,0,3.87,DA,NE,NE,NE,NE
SKUHNA - SVETOVNA KUHINJA PO SLOVENSKO,"Trubarjeva 56, 1000 Ljubljana",LJUBLJANA,5,3.37,DA,NE,NE,NE,NE
SLAŠČIČARNA IN KAVARNA LEONARD,"Trg mladinskih delovnih brigad 12, 1000 Ljubljana",LJUBLJANA,4,0.0,NE,DA,NE,DA,NE
"SLAŠČIČARNA IN OKREPČEVALNICA ""JAGODA""","Celovška cesta 75, 1000 Ljubljana",LJUBLJANA,0,1.57,DA,NE,NE,NE,NE
SLAŠČIČARNA IN PICERIJA AJDOVŠČINA,"Goriška cesta 11, 5270 Ajdovščina",AJDOVŠČINA,0,3.37,NE,DA,NE,DA,NE
SLAŠČIČARNA IN PICERIJA AJDOVŠČINA - HALO ERIK-DOSTAVA,"Goriška cesta 11, 5270 Ajdovščina",AJDOVŠČINA,0,3.37,DA,NE,DA,DA,NE
SPLOŠNA BOLNIŠNICA IZOLA,"Polje 40, 6310 Izola/Isola",IZOLA/ISOLA,5,2.37,DA,NE,NE,NE,NE
SREDNJA GOZDARSKA IN LESARSKA ŠOLA POSTOJNA,"Tržaška cesta 36, 6230 Postojna",POSTOJNA,0,1.97,NE,NE,NE,NE,NE
SREDNJA ŠOLA IZOLA - SCUOLA MEDIA ISOLA,"Prekomorskih brigad 7, 6310 Izola/Isola",IZOLA/ISOLA,0,2.0,DA,NE,NE,NE,NE
STARA KRŠKA PIZZERIJA,"Cesta krških žrtev 59, 8270 Krško",KRŠKO,5,3.37,DA,NE,NE,NE,NE
STARA KRŠKA PIZZERIJA - DOSTAVA,"Cesta krških žrtev 59, 8270 Krško",KRŠKO,0,3.57,DA,NE,DA,DA,NE
SUBWAY,"Dunajska cesta 115a, 1000 Ljubljana",LJUBLJANA,4,1.37,DA,DA,NE,DA,NE
SUBWAY,"Slovenska cesta 1, 1000 Ljubljana",LJUBLJANA,4,1.37,DA,DA,NE,DA,NE
ŠEHEREZADA,"Trubarjeva cesta 31, 1000 Ljubljana",LJUBLJANA,5,1.37,NE,NE,NE,DA,NE
ŠOLSKI CENTER ŠENTJUR,"Cesta na Kmetijsko šolo 9, 3230 Šentjur",ŠENTJUR,0,0.87,DA,NE,NE,NE,NE
ŠTUDENTSKI DOM LJUBLJANA - RESTAVRACIJA,"Svetčeva ulica 9, 1000 Ljubljana",LJUBLJANA,4,2.6,DA,DA,NE,NE,NE
TAJ MAHAL,"Poljanska 14, 1000 Ljubljana",LJUBLJANA,5,4.0,DA,DA,NE,DA,NE
TAJ MAHAL - DOSTAVA,"Poljanska 14, 1000 Ljubljana",LJUBLJANA,4,4.0,DA,NE,DA,DA,NE
TAJSKA RESTAVRACIJA BANGKOK STREET,"Šmartinska 152g, 1000 Ljubljana",LJUBLJANA,4,3.67,DA,NE,NE,NE,NE
TAKOS DOS,"Pobreška cesta 18, 2000 Maribor",MARIBOR,4,3.0,DA,NE,NE,NE,NE
TAKOS LENT,"Mesarski prehod 3, 2000 Maribor",MARIBOR,4,3.0,DA,NE,NE,DA,NE
TANDOORI CAFE,"Ilirska ulica 8, 1000 Ljubljana",LJUBLJANA,4,3.3,DA,DA,NE,DA,NE
TANDOORI CAFE - DOSTAVA,"Ilirska ulica 8, 1000 Ljubljana",LJUBLJANA,4,3.7,DA,NE,DA,DA,NE
TASTY SNACKS,"Cafova ulica 4, 2000 Maribor",MARIBOR,4,0.0,DA,NE,NE,NE,NE
"TAVERNA HUBER, RESTAVRACIJA IN SLASČIČARNA","Cankarjeva ulica 56, 9000 Murska Sobota",MURSKA SOBOTA,0,2.97,NE,DA,NE,NE,NE
TAVERNA SICILIA,"Ulica Heroja Nandeta 31, 2000 Maribor",MARIBOR,4,3.57,DA,DA,NE,DA,NE
TAVERNA SICILIA - DOSTAVA,"Ulica Heroja Nandeta 31, 2000 Maribor",MARIBOR,5,3.57,DA,NE,DA,DA,NE
THE WOK,"Čopova 4, 1000 Ljubljana",LJUBLJANA,4,2.57,DA,NE,NE,DA,NE
TRATTORIA PADRINO,"Žitna ulica 12, 2000 Maribor",MARIBOR,4,3.0,NE,DA,NE,DA,NE
TRNOVSKI ZVON,"Eipprova 17, 1000 Ljubljana",LJUBLJANA,2,3.87,DA,NE,NE,DA,NE
TUŠ RESTAVRACIJA MARIBOR STUDENCI (PLANET TUŠ),"Na Poljanah 18, 2000 Maribor",MARIBOR,4,2.37,DA,NE,NE,NE,NE
UFO,"Svetčeva ulica 14, 1000 Ljubljana",LJUBLJANA,4,2.98,DA,DA,NE,DA,NE
UN MOMENTO-PIZZA TIME,"Pobreška cesta 18, 2000 Maribor",MARIBOR,4,0.6,NE,NE,NE,NE,NE
"UTRIP - BAR, BISTRO IN KAVARNA","Šmartinska cesta 3, 1000 Ljubljana",LJUBLJANA,0,4.37,DA,NE,NE,NE,NE
V PARKU,"Rimska cesta 13, 1000 Ljubljana",LJUBLJANA,4,0.0,DA,NE,NE,DA,NE
VEGETARIJANSKA OKREPČEVALNICA HOLYFOOD,"Igriška 5, 1000 Ljubljana",LJUBLJANA,4,0.0,NE,DA,NE,NE,NE
VEGETARIJANSKA RESTAVRACIJA RADHA GOVINDA,"Žibretova 23, 1000 Ljubljana",LJUBLJANA,4,3.2,DA,NE,NE,NE,NE
VIVO D125,"Dunajska cesta 125, 1000 Ljubljana",LJUBLJANA,4,3.87,DA,DA,NE,NE,NE
VODNIKOV HRAM,"Vodnikov trg 2, 1000 Ljubljana",LJUBLJANA,3,4.37,DA,DA,NE,DA,NE
VOLTA,"Tržaška cesta 18, 1000 Ljubljana",LJUBLJANA,4,2.9,DA,DA,NE,NE,NE
VOZI MIŠKO (MC ŠIŠKA),"Cesta Ljubljanske brigade 33, 1000 Ljubljana",LJUBLJANA,5,3.87,DA,NE,NE,NE,NE
VOZI MIŠKO (SUPERNOVA RUDNIK),"Jurčkova cesta 223, 1000 Ljubljana",LJUBLJANA,5,3.87,DA,NE,NE,NE,NE
WOK MIX OKREPČEVALNICA,"Vetrinjska ulica 15, 2000 Maribor",MARIBOR,5,2.7,DA,DA,NE,NE,NE
ZLATI KROŽNIK,"Ljubljanska cesta 89, 1230 Domžale",DOMŽALE,5,3.5,DA,DA,NE,DA,NE
ZLATI KROŽNIK - DOSTAVA,"Ljubljanska cesta 89, 1230 Domžale",DOMŽALE,5,4.0,DA,NE,DA,DA,NE
ŽITO LJUBLANA ŽELEZNIŠKA (KOLODVOR),"Trg OF 7, 1000 Ljubljana",LJUBLJANA,5,0.6,NE,NE,NE,DA,NE
ŽITO LJUBLJANA BAVARSKI DVOR,"Slovenska cesta 58, 1000 Ljubljana",LJUBLJANA,4,0.6,NE,NE,NE,DA,NE
ŽITO LJUBLJANA VODNIK,"Vodnikov trg 5, 1000 Ljubljana",LJUBLJANA,4,0.6,NE,NE,NE,DA,NE
ŽITO TRŽNICA KOPER,"Pristaniška ulica 2, 6000 Koper/Capodistria",KOPER/CAPODISTRIA,2,0.6,DA,DA,NE,DA,NE
